,CURRENT,PREVIOUS,PREVIOUS_SPEAKER,PREVIOUS_DISTANCE,PREVIOUS_DISTANCE_LOG,QUASI_PERSISTENCE,HUMAN_ID,INTERACTION_ID,TURN_LENGTH,CONFEDERATE
2553,speichern,hinzufügen,A,123,4.812184355372417,True,20171121B,5,13,False
2738,speichern,hinzufügen,A,140,4.941642422609304,False,20171121B,5,10,False
2838,eintragen,hinzufügen,A,59,4.07753744390572,True,20171121B,5,14,False
3280,speichern,hinzufügen,A,147,4.990432586778736,False,20171121B,6,12,True
3398,speichern,hinzufügen,A,79,4.3694478524670215,False,20171121B,6,10,True
5472,erstellen,planen,A,2,0.6931471805599453,True,20171121C,9,14,False
5668,eintragen,hinzufügen,A,148,4.997212273764115,True,20171121C,9,13,False
11264,erstellen,erstellen,A,22,3.091042453358316,True,20171122B,17,14,False
11444,erstellen,hinzufügen,A,135,4.90527477843843,True,20171122B,17,14,False
11515,erstellen,hinzufügen,A,42,3.7376696182833684,True,20171122B,17,16,False
11801,erstellen,hinzufügen,A,83,4.418840607796598,False,20171122B,18,14,True
11864,erstellen,erstellen,A,29,3.367295829986474,True,20171122B,18,14,True
12429,erstellen,eintragen,A,2,0.6931471805599453,True,20171122B,18,14,True
14210,eintragen,eintragen,A,81,4.394449154672439,True,20171122C,21,15,False
14367,eintragen,hinzufügen,A,102,4.624972813284271,True,20171122C,21,10,False
14464,eintragen,hinzufügen,A,59,4.07753744390572,True,20171122C,21,10,False
14938,machen,hinzufügen,A,214,5.365976015021851,False,20171122C,22,12,True
17470,speichern,hinzufügen,A,120,4.787491742782046,False,20171123A,26,27,True
17485,speichern,speichern,S,15,2.70805020110221,False,20171123A,26,27,True
21871,eintragen,eintragen,A,7,1.9459101490553132,False,20171123D,33,7,True
21892,eintragen,eintragen,S,21,3.044522437723423,False,20171123D,33,17,True
22917,planen,planen,A,10,2.302585092994046,True,20171123D,34,10,False
22953,planen,planen,A,8,2.0794415416798357,True,20171123D,34,8,False
27790,speichern,planen,A,377,5.932245187448011,False,20171123F,41,26,True
30685,erstellen,erstellen,S,25,3.2188758248682006,True,20171127A,45,12,False
30894,erstellen,hinzufügen,A,167,5.117993812416755,True,20171127A,45,4,False
30930,erstellen,erstellen,S,36,3.58351893845611,True,20171127A,45,4,False
31017,erstellen,hinzufügen,A,42,3.7376696182833684,True,20171127A,45,4,False
31464,erstellen,planen,A,2,0.6931471805599453,True,20171127A,46,4,True
31913,erstellen,planen,A,13,2.5649493574615367,True,20171127A,46,3,True
34069,markieren,planen,A,323,5.777652323222656,False,20171127B,49,19,False
34087,markieren,hinzufügen,A,3,1.0986122886681098,True,20171127B,49,14,False
34106,markieren,markieren,S,19,2.9444389791664403,True,20171127B,49,12,False
34143,markieren,hinzufügen,A,3,1.0986122886681098,True,20171127B,49,12,False
34617,markieren,hinzufügen,A,99,4.59511985013459,False,20171127B,50,21,True
35005,markieren,planen,A,17,2.833213344056216,True,20171127B,50,11,True
35074,markieren,eintragen,J,12,2.4849066497880004,False,20171127B,50,9,True
35093,markieren,markieren,S,19,2.9444389791664403,False,20171127B,50,9,True
35117,markieren,markieren,S,24,3.1780538303479458,False,20171127B,50,11,True
35231,markieren,planen,A,16,2.772588722239781,True,20171127B,50,22,True
35236,markieren,markieren,S,5,1.6094379124341003,False,20171127B,50,22,True
37518,eintragen,hinzufügen,A,49,3.8918202981106265,True,20171127C,53,14,False
37612,eintragen,hinzufügen,A,42,3.7376696182833684,True,20171127C,53,17,False
38099,eintragen,planen,A,20,2.995732273553991,True,20171127C,54,15,True
38436,eintragen,eintragen,J,247,5.5093883366279774,True,20171127C,54,18,True
40012,vereinbaren,planen,A,36,3.58351893845611,False,20171128A,57,13,False
40073,eintragen,vereinbaren,S,61,4.110873864173311,True,20171128A,57,13,False
40117,vereinbaren,eintragen,A,42,3.7376696182833684,True,20171128A,57,17,False
40305,vereinbaren,hinzufügen,A,40,3.6888794541139363,True,20171128A,57,10,False
40397,vereinbaren,hinzufügen,A,58,4.060443010546419,True,20171128A,57,9,False
43046,erstellen,hinzufügen,A,2,0.6931471805599453,True,20171128B,61,16,False
43090,erstellen,erstellen,A,17,2.833213344056216,True,20171128B,61,6,False
69217,eintragen,hinzufügen,A,61,4.110873864173311,True,20171201A,93,10,False
69303,eintragen,planen,A,2,0.6931471805599453,False,20171201A,93,12,False
69395,eintragen,eintragen,S,92,4.5217885770490405,True,20171201A,93,10,False
69427,eintragen,eintragen,S,32,3.4657359027997265,True,20171201A,93,11,False
73827,speichern,eintragen,S,316,5.755742213586912,False,20171201B,98,20,True
73859,speichern,machen,J,12,2.4849066497880004,False,20171201B,98,5,True
73896,speichern,speichern,S,37,3.6109179126442243,False,20171201B,98,14,True
74351,speichern,planen,A,26,3.258096538021482,False,20171201B,98,11,True
79233,eintragen,eintragen,A,2,0.6931471805599453,True,20171208A,101,2,True
81670,hinzufügen,planen,A,132,4.882801922586371,False,20171208B,105,33,False
81717,hinzufügen,hinzufügen,S,47,3.8501476017100584,False,20171208B,105,24,False
81727,eintragen,hinzufügen,S,10,2.302585092994046,False,20171208B,105,24,False
81784,hinzufügen,eintragen,S,57,4.04305126783455,True,20171208B,105,9,False
81844,hinzufügen,hinzufügen,A,9,2.1972245773362196,True,20171208B,105,9,False
82931,eintragen,erstellen,A,98,4.584967478670572,True,20171208B,106,11,True
